step,image_filename,action,inference_time
55,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0055.jpg,left,0.05183529853820801
56,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0056.jpg,forward,0.062331199645996094
57,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0057.jpg,left,0.053911447525024414
58,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0058.jpg,forward,0.04917788505554199
59,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0059.jpg,left,0.05344867706298828
60,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0060.jpg,forward,0.056497812271118164
61,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0061.jpg,left,0.044619083404541016
62,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0062.jpg,forward,0.06345415115356445
63,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0063.jpg,left,0.06449651718139648
64,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0064.jpg,forward,0.04293465614318848
65,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0065.jpg,left,0.04662656784057617
66,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0066.jpg,forward,0.046710968017578125
67,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0067.jpg,left,0.056127071380615234
68,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0068.jpg,forward,0.056852102279663086
69,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0069.jpg,left,0.057795047760009766
70,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0070.jpg,forward,0.05674886703491211
71,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0071.jpg,left,0.055483341217041016
72,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0072.jpg,forward,0.05660057067871094
73,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0073.jpg,left,0.07268118858337402
74,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0074.jpg,forward,0.06935715675354004
75,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0075.jpg,forward,0.06299424171447754
76,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0076.jpg,left,0.04952836036682129
77,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0077.jpg,forward,0.050323486328125
78,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0078.jpg,forward,0.05261063575744629
79,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0079.jpg,forward,0.04791879653930664
80,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0080.jpg,forward,0.05256152153015137
81,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0081.jpg,forward,0.06329703330993652
82,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0082.jpg,left,0.06004619598388672
83,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0083.jpg,forward,0.058309078216552734
84,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0084.jpg,left,0.05505514144897461
85,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0085.jpg,forward,0.05043435096740723
86,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0086.jpg,forward,0.06923079490661621
87,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0087.jpg,forward,0.05506181716918945
88,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0088.jpg,forward,0.04984617233276367
89,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0089.jpg,forward,0.047933340072631836
90,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0090.jpg,forward,0.06369948387145996
91,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0091.jpg,forward,0.05277848243713379
92,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0092.jpg,forward,0.04812002182006836
93,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0093.jpg,forward,0.05780196189880371
94,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0094.jpg,forward,0.05450701713562012
95,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0095.jpg,right,0.07120990753173828
96,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0096.jpg,right,0.06117844581604004
97,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0097.jpg,right,0.05248141288757324
98,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0098.jpg,forward,0.05009174346923828
99,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0099.jpg,forward,0.04768848419189453
100,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0100.jpg,forward,0.05701947212219238
101,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0101.jpg,forward,0.05501866340637207
102,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0102.jpg,right,0.050803422927856445
103,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0103.jpg,forward,0.05400204658508301
104,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0104.jpg,right,0.05018115043640137
105,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0105.jpg,forward,0.04980635643005371
106,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0106.jpg,forward,0.04448056221008301
107,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0107.jpg,right,0.05434274673461914
108,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0108.jpg,forward,0.055455684661865234
109,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0109.jpg,right,0.04873013496398926
110,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0110.jpg,right,0.058678627014160156
111,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0111.jpg,forward,0.05323457717895508
112,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0112.jpg,right,0.06246304512023926
113,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0113.jpg,right,0.04622817039489746
114,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0114.jpg,forward,0.050080060958862305
115,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0115.jpg,right,0.062227725982666016
116,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0116.jpg,right,0.04241180419921875
117,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0117.jpg,forward,0.05456376075744629
118,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0118.jpg,forward,0.043543338775634766
119,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0119.jpg,forward,0.04529929161071777
120,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0120.jpg,forward,0.05894589424133301
121,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0121.jpg,forward,0.050000905990600586
122,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0122.jpg,forward,0.0530397891998291
123,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0123.jpg,forward,0.04401683807373047
124,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0124.jpg,forward,0.05810213088989258
125,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0125.jpg,forward,0.05014824867248535
126,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0126.jpg,left,0.048027753829956055
127,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0127.jpg,forward,0.060541391372680664
128,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0128.jpg,forward,0.05373024940490723
129,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0129.jpg,left,0.04300975799560547
130,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0130.jpg,forward,0.05823111534118652
131,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0131.jpg,left,0.05327486991882324
132,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0132.jpg,left,0.05309605598449707
133,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0133.jpg,forward,0.050753116607666016
134,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0134.jpg,left,0.04641890525817871
135,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0135.jpg,forward,0.05031013488769531
136,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0136.jpg,left,0.05426979064941406
137,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0137.jpg,forward,0.043958187103271484
138,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0138.jpg,forward,0.05824923515319824
139,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0139.jpg,left,0.04741263389587402
140,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0140.jpg,left,0.04904747009277344
141,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0141.jpg,forward,0.06613802909851074
142,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0142.jpg,left,0.05748319625854492
143,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0143.jpg,forward,0.05492520332336426
144,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0144.jpg,left,0.04850006103515625
145,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0145.jpg,forward,0.05737876892089844
146,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0146.jpg,left,0.047820091247558594
147,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0147.jpg,forward,0.06338953971862793
148,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0148.jpg,left,0.07169008255004883
149,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0149.jpg,forward,0.05246567726135254
150,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0150.jpg,forward,0.07729196548461914
151,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0151.jpg,left,0.06232762336730957
152,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0152.jpg,forward,0.06775808334350586
153,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0153.jpg,forward,0.05702829360961914
154,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0154.jpg,forward,0.06263542175292969
155,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0155.jpg,forward,0.04724311828613281
156,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0156.jpg,forward,0.05071568489074707
157,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0157.jpg,forward,0.054849863052368164
158,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0158.jpg,right,0.05285763740539551
159,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0159.jpg,forward,0.04591059684753418
160,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0160.jpg,forward,0.04931640625
161,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0161.jpg,forward,0.06383538246154785
162,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0162.jpg,forward,0.05637502670288086
163,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0163.jpg,forward,0.05090904235839844
164,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0164.jpg,right,0.04844093322753906
165,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0165.jpg,left,0.05050039291381836
166,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0166.jpg,right,0.05456686019897461
167,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0167.jpg,left,0.04822111129760742
168,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0168.jpg,right,0.05021381378173828
169,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0169.jpg,forward,0.0496518611907959
170,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0170.jpg,forward,0.07010531425476074
171,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0171.jpg,forward,0.0578465461730957
172,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0172.jpg,forward,0.06613564491271973
173,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0173.jpg,forward,0.05661368370056152
174,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0174.jpg,forward,0.052962303161621094
175,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0175.jpg,forward,0.06560325622558594
176,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0176.jpg,forward,0.055451393127441406
177,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0177.jpg,right,0.06333446502685547
178,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0178.jpg,left,0.05088639259338379
179,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0179.jpg,right,0.060698747634887695
180,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0180.jpg,forward,0.0627129077911377
181,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0181.jpg,left,0.05126357078552246
182,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0182.jpg,right,0.0625607967376709
183,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0183.jpg,left,0.06408309936523438
184,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0184.jpg,right,0.05149579048156738
185,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0185.jpg,left,0.052733421325683594
186,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0186.jpg,right,0.046122074127197266
187,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0187.jpg,left,0.05797219276428223
188,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0188.jpg,right,0.057871341705322266
189,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0189.jpg,right,0.05038857460021973
190,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0190.jpg,forward,0.04900217056274414
191,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0191.jpg,right,0.051248788833618164
192,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0192.jpg,forward,0.06159400939941406
193,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0193.jpg,forward,0.057839393615722656
194,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0194.jpg,forward,0.05773591995239258
195,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0195.jpg,forward,0.0519709587097168
196,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0196.jpg,right,0.06002998352050781
197,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0197.jpg,right,0.04854249954223633
198,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0198.jpg,forward,0.05665731430053711
199,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0199.jpg,forward,0.050231218338012695
200,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0200.jpg,forward,0.04703545570373535
201,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0201.jpg,forward,0.06893348693847656
202,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0202.jpg,right,0.053835391998291016
203,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0203.jpg,forward,0.05397224426269531
204,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0204.jpg,right,0.0529024600982666
205,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0205.jpg,right,0.058295249938964844
206,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0206.jpg,forward,0.05849909782409668
207,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0207.jpg,forward,0.05967354774475098
208,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0208.jpg,right,0.04862785339355469
209,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0209.jpg,right,0.06285357475280762
210,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0210.jpg,forward,0.04571795463562012
211,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0211.jpg,right,0.047170400619506836
212,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0212.jpg,right,0.05825519561767578
213,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0213.jpg,forward,0.0615077018737793
214,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0214.jpg,right,0.05899810791015625
215,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0215.jpg,forward,0.05164480209350586
216,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0216.jpg,forward,0.0560154914855957
217,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0217.jpg,forward,0.054604530334472656
218,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0218.jpg,forward,0.0630486011505127
219,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0219.jpg,forward,0.05601978302001953
220,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0220.jpg,forward,0.05526328086853027
221,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0221.jpg,forward,0.06610608100891113
222,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0222.jpg,forward,0.0649271011352539
223,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0223.jpg,forward,0.05871105194091797
224,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0224.jpg,forward,0.05337834358215332
